"Borough","Sub_Borough","lat","long"
1,1,40.811286,-73.9017865
1,2,40.8402505,-73.901828
1,3,40.83011,-73.9252055
1,4,40.8602575,-73.9032335
1,5,40.8822415,-73.895477
1,6,40.8879445,-73.909007
1,7,40.8318815,-73.863329
1,8,40.8490035,-73.826043
1,9,40.854192,-73.864485
1,10,40.873445,-73.844181
2,1,40.7197775,-73.9507815
2,2,40.693499,-73.9846635
2,3,40.687314,-73.937536
2,4,40.694902,-73.915327
2,5,40.6543975,-73.8794025
2,6,40.675332,-73.988907
2,7,40.649117,-74.007247
2,8,40.674668,-73.9592195
2,9,40.669147,-73.941817
2,10,40.627403,-74.029755
2,11,40.615114,-73.99193
2,12,40.635902,-73.59254
2,13,40.578057,-73.967962
2,14,40.6426,-73.959869
2,15,40.595125,-73.963932
2,16,40.6715465,-73.911185
2,17,40.647222,-73.931333
2,18,40.631831,-73.9150025
3,1,40.721296,-74.004928
3,2,40.716309,-73.9907285
3,3,40.7492445,-73.992477
3,4,40.7519915,-73.9845875
3,5,40.785923,-73.97575
3,6,40.772347,-73.956533
3,7,40.8181515,-73.95557
3,8,40.808294,-73.948157
3,9,40.797249,-73.940018
3,10,40.856452,-73.929217
4,1,40.767382,-73.921845
4,2,40.745516,-73.9113705
4,3,40.757825,-73.885098
4,4,40.740284,-73.868494
4,5,40.711822,-73.889092
4,6,40.7240765,-73.8537245
4,7,40.775781,-73.820943
4,8,40.7299945,-73.788904
4,9,40.699789,-73.841682
4,10,40.6644825,-73.829168
4,11,40.7638265,-73.7521535
4,12,40.698437,-73.791746
4,13,40.662212,-73.73594
4,14,40.590035,-73.804834
5,1,40.632776,-74.146152
5,2,40.605405,-74.141372
5,3,40.552438,-74.146152
