"","renters_coeffs","owners_coeffs"
"(Intercept)",1.89174044583572,1.63560111418522
"Householder.sexMale",-0.0979779864265534,-0.0944972140536948
"Householder.age",-0.0097422728887796,-0.00346947705964172
"Householder.hispanic.originNot hispanic",-0.11697735917516,-0.0753947522194378
"Duration.of.stay.as.of.2017",0.224141030104982,0.0398810723390582
"Number.of.units10-19 units",0.641855485181971,0.229439661559135
"Number.of.units100+ units",0.59602048428859,0.242799112673556
"Number.of.units2 units",0.0782511488815799,-0.0402979676334649
"Number.of.units20-49 units",0.718032000364333,0.297243231587865
"Number.of.units3-5 units",0.243799036655159,-0.0893602581520004
"Number.of.units50-99 units",0.624100442150736,0.283984731029032
"Number.of.units6-9 units",0.576579491231174,0.187151010833522
"Owner.in.buildingYes",-0.399675369522841,-0.172606295037741
"Number.of.stories11-20 stories",-0.498874769577124,-0.265779761696647
"Number.of.stories21+ stories",-0.717655524124876,-0.326901482782306
"Number.of.stories3-5 stories",0.175974799369332,0.102538121352702
"Number.of.stories6-10 stories",-0.0199731555672548,-0.0594875067125528
"Number.of.rooms",0.102886348375058,0.020996074624316
"Plumbing.facilitiesYes",-0.854778108343142,-0.370962428014966
"Kitchen.facilitiesYes",-0.582359721902312,-0.590337561097983
"Resident.ratingFair",1.06901329504955,0.525835347649657
"Resident.ratingGood",0.304250198821079,0.172684187488351
"Resident.ratingPoor",2.23291066898783,1.07457520819991
"Householder.income",-0.0017495888619526,0.00143307819235454
"BoroughBrooklyn",-0.127943353195092,-0.0157750563601173
"BoroughManhattan",-0.00221533319140056,0.126557888219007
"BoroughQueens",-0.492962649281923,-0.173688984508312
"BoroughStaten Island",-0.37112882276245,-0.209665636174545
